model_name,engine_type,engine_power,max_speed,cruise_speed,stall_speed,fuel_tank,all_eng_roc,out_eng_roc,takeoff_distance,landing_distance,empty_weight,length,wing_span,range,price
"A,B 33 Debonair",Piston,380.0,252.0,247.0,73.0,142.0,2020.0,1420.0,2080.0,5990.0,3700.0,348.0,454.0,737.0,3220000.0
100 Darter (S.L. Industries),Piston,380.0,252.0,247.0,73.0,142.0,2020.0,1420.0,2080.0,5990.0,3650.0,339.0,454.0,737.0,3220000.0
"C-24R Sierra 200 (prior'78 svc. ceil=16,400)",Piston,285.0,208.0,195.0,73.0,100.0,1682.0,968.0,1414.0,5300.0,3291.0,348.0,454.0,934.0,1910000.0
100 Darter (S.L. Industries),Piston,285.0,210.0,200.0,67.0,112.0,1670.0,968.0,1414.0,5300.0,3075.0,339.0,454.0,550.0,2090000.0
A-24R Sierra 200,Piston,260.0,201.0,184.0,73.0,100.0,1693.0,2154.0,2148.0,5100.0,3236.0,336.0,454.0,739.0,1930000.0
100 Darter (S.L. Industries),Piston,260.0,205.0,196.0,68.0,112.0,1670.0,1225.0,1370.0,5100.0,3075.0,324.0,454.0,763.0,1970000.0
C 23 Sundowner (pre '76 fuel=52 gal) pre'82=less mph,Piston,260.0,200.0,191.0,66.0,112.0,1700.0,1700.0,1470.0,4880.0,2960.0,317.0,452.0,745.0,1950000.0
100 Darter (S.L. Industries),Piston,260.0,200.0,191.0,66.0,112.0,1630.0,1700.0,1470.0,4880.0,2960.0,307.0,452.0,745.0,1920000.0
"A 23, A23A Musketeer (A=2,400 lb gross)",Piston,180.0,183.0,174.0,61.0,80.0,1250.0,1280.0,1590.0,4200.0,2650.0,301.0,445.0,661.0,1810000.0
100 Darter (S.L. Industries),Piston,180.0,183.0,174.0,61.0,80.0,1250.0,2100.0,1850.0,4200.0,2635.0,303.0,445.0,661.0,1810000.0
B 19 Sport 150 (76' & prior fuel=52 gal),Piston,180.0,183.0,170.0,61.0,80.0,1250.0,2100.0,1850.0,4100.0,2635.0,303.0,453.0,661.0,1810000.0
100 Darter (S.L. Industries),Piston,180.0,171.0,158.0,60.0,100.0,1248.0,2119.0,1881.0,3900.0,2460.0,348.0,456.0,843.0,1965000.0
77 Skipper ('79-'80 height=7/11),Piston,300.0,213.0,190.0,57.0,102.0,1049.0,2364.0,1692.0,3850.0,2338.0,330.0,454.0,957.0,2500000.0
"17-31 ATC Turbo, 300-Lyc. (prior '78=8 gal less)",Piston,300.0,214.0,190.0,57.0,74.0,1165.0,2012.0,1449.0,3650.0,2278.0,330.0,402.0,800.0,2500000.0
